City,District,Neighborhood,Postal,Latitude,Longitude
Madrid,SAN BLAS-CANILLEJAS,ARCOS,28022,40.42399738,-3.611684586
Madrid,SAN BLAS-CANILLEJAS,ROSAS,28022,40.42714433,-3.60257677
Madrid,SAN BLAS-CANILLEJAS,CANILLEJAS,28022,40.43753724,-3.608411581
Madrid,SAN BLAS-CANILLEJAS,ROSAS,28022,40.43061533,-3.608974034
Madrid,SAN BLAS-CANILLEJAS,CANILLEJAS,28022,40.44848496,-3.614890057
Madrid,SAN BLAS-CANILLEJAS,ROSAS,28022,40.42154331,-3.607241922
Madrid,MONCLOA-ARAVACA,ARAVACA,28023,40.4605762,-3.785703746
Madrid,MONCLOA-ARAVACA,ARAVACA,28023,40.45003182,-3.771571153
Madrid,LATINA,LAS AGUILAS,28024,40.38398261,-3.778898898
Madrid,LATINA,ALUCHE,28024,40.39509014,-3.761411071
Madrid,LATINA,CAMPAMENTO,28024,40.39414214,-3.779298745
Madrid,LATINA,CAMPAMENTO,28024,40.39858179,-3.768803473
Madrid,LATINA,CAMPAMENTO,28024,40.3797721,-3.793952969
Madrid,LATINA,ALUCHE,28024,40.38888787,-3.762024576
Madrid,LATINA,ALUCHE,28024,40.39083158,-3.760997851
Madrid,CARABANCHEL,ABRANTES,28025,40.38481599,-3.725574252
Madrid,CARABANCHEL,PUERTA BONITA,28025,40.38091348,-3.742850001
Madrid,CARABANCHEL,ABRANTES,28025,40.38471221,-3.722003386
Madrid,CARABANCHEL,PUERTA BONITA,28025,40.38629581,-3.730927212
Madrid,CARABANCHEL,ABRANTES,28025,40.38059274,-3.728120681
Madrid,CARABANCHEL,PUERTA BONITA,28025,40.37598607,-3.737129783
Madrid,CARABANCHEL,ABRANTES,28025,40.38484911,-3.721722095
Madrid,USERA,MOSCARDO,28026,40.38810859,-3.710375518
Madrid,USERA,MOSCARDO,28026,40.38904382,-3.704765273
Madrid,USERA,ALMENDRALES,28026,40.3871562,-3.699608734
Madrid,USERA,ALMENDRALES,28026,40.38020037,-3.698252689
Madrid,USERA,ZOFIO,28026,40.37893066,-3.715839438
Madrid,USERA,ZOFIO,28026,40.38358402,-3.713626712
Madrid,CIUDAD LINEAL,SAN PASCUAL,28027,40.43724099,-3.654403894
Madrid,CIUDAD LINEAL,QUINTANA,28027,40.43747986,-3.642332638
Madrid,SAN BLAS-CANILLEJAS,EL SALVADOR,28027,40.44309079,-3.624557171
Madrid,CIUDAD LINEAL,SAN PASCUAL,28027,40.44348652,-3.650809049
Madrid,CIUDAD LINEAL,CONCEPCION,28027,40.43714842,-3.650052288
Madrid,CIUDAD LINEAL,CONCEPCION,28027,40.44426507,-3.64692527
Madrid,SALAMANCA,FUENTE DEL BERRO,28028,40.42627963,-3.666557826
Madrid,SALAMANCA,GUINDALERA,28028,40.437286,-3.667020229
Madrid,FUENCARRAL-EL PARDO,LA PAZ,28029,40.47540952,-3.702423295
Madrid,FUENCARRAL-EL PARDO,LA PAZ,28029,40.4775644,-3.70065252
Madrid,FUENCARRAL-EL PARDO,LA PAZ,28029,40.48021987,-3.701010473
Madrid,TETUAN,ALMENARA,28029,40.4729057,-3.699341839
Madrid,FUENCARRAL-EL PARDO,EL PILAR,28029,40.47531423,-3.707707444
Madrid,FUENCARRAL-EL PARDO,EL PILAR,28029,40.4745973,-3.714412446
Madrid,TETUAN,ALMENARA,28029,40.46693859,-3.693889292
Madrid,FUENCARRAL-EL PARDO,LA PAZ,28029,40.48309753,-3.695908037
Madrid,MORATALAZ,VINATEROS,28030,40.4038241,-3.643579974
Madrid,MORATALAZ,PAVONES,28030,40.39511351,-3.63357557
Madrid,MORATALAZ,MEDIA LEGUA,28030,40.40883802,-3.660292566
Madrid,MORATALAZ,MARROQUINA,28030,40.40943696,-3.649985933
Madrid,MORATALAZ,PAVONES,28030,40.40191354,-3.63391036
Madrid,MORATALAZ,FONTARRON,28030,40.40054024,-3.641156517
Madrid,MORATALAZ,MARROQUINA,28030,40.41226776,-3.648033089
Madrid,MORATALAZ,VINATEROS,28030,40.40354002,-3.637944193
Madrid,MORATALAZ,FONTARRON,28030,40.40170492,-3.645563132
Madrid,MORATALAZ,MEDIA LEGUA,28030,40.40738607,-3.657390968
Madrid,VILLA DE VALLECAS,CASCO H.VALLECAS,28031,40.36803998,-3.622167743
Madrid,VILLA DE VALLECAS,SANTA EUGENIA,28031,40.38010209,-3.613949811
Madrid,VILLA DE VALLECAS,SANTA EUGENIA,28031,40.38124774,-3.611969256
Madrid,VILLA DE VALLECAS,CASCO H.VALLECAS,28031,40.37490511,-3.623809361
Madrid,VILLA DE VALLECAS,CASCO H.VALLECAS,28031,40.37597903,-3.61843586
Madrid,VILLA DE VALLECAS,CASCO H.VALLECAS,28031,40.37775032,-3.620772753
Madrid,VILLA DE VALLECAS,CASCO H.VALLECAS,28031,40.37263346,-3.617345138
Madrid,VICALVARO,CASCO H.VICALVARO,28032,40.40320138,-3.603694878
Madrid,VICALVARO,CASCO H.VICALVARO,28032,40.40067632,-3.598982214
Madrid,VICALVARO,AMBROZ,28032,40.41031103,-3.613682106
Madrid,VICALVARO,CASCO H.VICALVARO,28032,40.39629114,-3.625774204
Madrid,VICALVARO,CASCO H.VICALVARO,28032,40.39721845,-3.607306132
Madrid,VICALVARO,CASCO H.VICALVARO,28032,40.40340596,-3.617838302
Madrid,VICALVARO,AMBROZ,28032,40.40502576,-3.601094919
Madrid,VICALVARO,CASCO H.VICALVARO,28032,40.40296556,-3.595313927
Madrid,HORTALEZA,PINAR DEL REY,28033,40.47301835,-3.634543156
Madrid,HORTALEZA,PINAR DEL REY,28033,40.47838155,-3.65023747
