City,District,Neigborhood,Postal,Coordenate X (cm) ,Coordenate Y (cm),Longitude en  ETRS89 WGS84,Latitude   ETRS89 WGS84
MADRID,LATINA              ,CAMPAMENTO          ,28024,43262829,447009156,3º47'41.8'' W   ,40º22'36.52'' N 
MADRID,CARABANCHEL         ,PUERTA BONITA       ,28025,43807983,447069120,3º43'50.81'' W  ,40º22'57.47'' N 
MADRID,CARABANCHEL         ,VISTA ALEGRE        ,28025,43750357,447149363,3º44'15.53'' W  ,40º23'23.35'' N 
MADRID,CARABANCHEL         ,ABRANTES            ,28026,43901502,447001208,3º43'10.93'' W  ,40º22'35.7'' N  
MADRID,USERA               ,ALMENDRALES         ,28026,44074333,447098349,3º41'57.98'' W  ,40º23'7.64'' N  
MADRID,USERA               ,MOSCARDO            ,28026,43994316,447125248,3º42'32.0'' W   ,40º23'16.15'' N 
MADRID,USERA               ,PRADOLONGO          ,28026,44024954,447061351,3º42'18.76'' W  ,40º22'55.54'' N 
MADRID,USERA               ,ZOFIO               ,28026,43962875,447054301,3º42'45.07'' W  ,40º22'53.08'' N 
MADRID,CIUDAD LINEAL       ,CONCEPCION          ,28027,44515571,447732856,3º38'52.79'' W  ,40º26'34.53'' N 
MADRID,SAN BLAS-CANILLEJAS ,EL SALVADOR         ,28027,44655236,447729644,3º37'53.52'' W  ,40º26'33.79'' N 
MADRID,CIUDAD LINEAL       ,QUINTANA            ,28027,44568150,447692077,3º38'30.34'' W  ,40º26'21.43'' N 
MADRID,CIUDAD LINEAL       ,SAN PASCUAL         ,28027,44525748,447787403,3º38'48.63'' W  ,40º26'52.23'' N 
MADRID,SALAMANCA           ,FUENTE DEL BERRO    ,28028,44352308,447491259,3º40'1.33'' W   ,40º25'15.79'' N 
MADRID,SALAMANCA           ,GUINDALERA          ,28028,44318158,447659537,3º40'16.34'' W  ,40º26'10.25'' N 
MADRID,TETUAN              ,ALMENARA            ,28029,44084032,448046920,3º41'57.05'' W  ,40º28'15.3'' N  
MADRID,FUENCARRAL-EL PARDO ,EL PILAR            ,28029,43948034,448095072,3º42'54.96'' W  ,40º28'30.57'' N 
MADRID,FUENCARRAL-EL PARDO ,LA PAZ              ,28029,44056334,448098492,3º42'8.98'' W   ,40º28'31.96'' N 
MADRID,TETUAN              ,VALDEACEDERAS       ,28029,44060616,448032071,3º42'6.93'' W   ,40º28'10.44'' N 
MADRID,MORATALAZ           ,FONTARRON           ,28030,44524071,447257505,3º38'47.71'' W  ,40º24'0.38'' N  
MADRID,MORATALAZ           ,HORCAJO             ,28030,44656425,447308299,3º37'51.74'' W  ,40º24'17.16'' N 
MADRID,MORATALAZ           ,MARROQUINA          ,28030,44498426,447347888,3º38'58.89'' W  ,40º24'29.63'' N 
MADRID,MORATALAZ           ,PAVONES             ,28030,44607433,447209372,3º38'12.22'' W  ,40º23'44.97'' N 
MADRID,MORATALAZ           ,VINATEROS           ,28030,44547634,447308136,3º38'37.89'' W  ,40º24'16.84'' N 
MADRID,VILLA DE VALLECAS   ,CASCO H.VALLECAS    ,28031,44743620,447039222,3º37'13.94'' W  ,40º22'50.09'' N 
MADRID,VILLA DE VALLECAS   ,SANTA EUGENIA       ,28031,44826765,447026902,3º36'38.62'' W  ,40º22'46.29'' N 
MADRID,VICALVARO           ,CASCO H.VICALVARO   ,28032,44840077,447289037,3º36'33.75'' W  ,40º24'11.32'' N 
MADRID,VICALVARO           ,VALDEBERNARDO       ,28032,44719255,447212654,3º37'24.77'' W  ,40º23'46.27'' N 
MADRID,VICALVARO           ,VALDERRIVAS         ,28032,44892441,447239604,3º36'11.42'' W  ,40º23'55.42'' N 
MADRID,HORTALEZA           ,APOSTOL SANTIAGO    ,28033,44428462,448096379,3º39'30.91'' W  ,40º28'32.21'' N 
MADRID,CIUDAD LINEAL       ,COSTILLARES         ,28033,44374165,448135704,3º39'54.1'' W   ,40º28'44.82'' N 
MADRID,HORTALEZA           ,PINAR DEL REY       ,28033,44395179,447996457,3º39'44.74'' W  ,40º27'59.73'' N 
MADRID,FUENCARRAL-EL PARDO ,VALVERDE            ,28034,44182401,448217267,3º41'15.83'' W  ,40º29'10.81'' N 
MADRID,MONCLOA-ARAVACA     ,CIUDAD UNIVERSITARIA,28035,43672317,448054163,3º44'51.9'' W   ,40º28'16.57'' N 
MADRID,FUENCARRAL-EL PARDO ,FUENTELARREINA      ,28035,43722128,448152600,3º44'31.1'' W   ,40º28'48.62'' N 
MADRID,FUENCARRAL-EL PARDO ,MIRASIERRA          ,28035,43861470,448253058,3º43'32.25'' W  ,40º29'21.58'' N 
MADRID,FUENCARRAL-EL PARDO ,PEÑA GRANDE         ,28035,43846191,448168319,3º43'38.45'' W  ,40º28'54.04'' N 
MADRID,CHAMARTIN           ,CASTILLA            ,28036,44271264,448084350,3º40'37.63'' W  ,40º28'27.93'' N 
MADRID,CHAMARTIN           ,NUEVA ESPAÑA        ,28036,44215670,447997471,3º41'0.96'' W   ,40º27'59.61'' N 
MADRID,SAN BLAS-CANILLEJAS ,AMPOSTA             ,28037,44763776,447568574,3º37'6.95'' W   ,40º25'41.83'' N 
MADRID,SAN BLAS-CANILLEJAS ,ARCOS               ,28037,44792464,447542958,3º36'54.69'' W  ,40º25'33.56'' N 
